Ang12(degree)  Ang32(degree)  Natom   Energy_Initial(eV)   Energy_Final(eV) 
    1.084549 	     0.271131 	     267930 	  0.000000000  	 -1799170.632856350 
    1.084549 	     0.361512 	     150710 	  0.000000000  	 -1012007.964019010 
    1.084549 	     0.542275 	      66982 	  0.000000000  	 -449766.398390996 
    1.084549 	     0.813418 	     267930 	  0.000000000  	 -1799011.243710720 
    1.084549 	     0.976099 	    1674582 	  0.000000000  	 -11243874.342283128 
    1.084549 	     1.084549 	      16746 	  0.000000000  	 -112440.121993284 
    1.084549 	     1.192995 	    1674622 	  0.000000000  	 -11243920.750987792 
    1.084549 	     1.446017 	     150722 	  0.000000000  	 -1011962.054180220 
    1.084549 	     1.626726 	      66990 	  0.000000000  	 -449773.413055890 
    1.084549 	     1.807414 	     150734 	  0.000000000  	 -1012023.844293684 
    1.084549 	     2.168710 	      16750 	  0.000000000  	 -112458.837654750 
    1.084549 	     2.710402 	      67014 	  0.000000000  	 -449926.156400040 

    1.538500 	     0.384608 	     133146 	  0.000000000  	 -894039.139536894 
    1.538500 	     0.512820 	      74894 	  0.000000000  	 -502879.179364704 
    1.538500 	     0.769250 	      33286 	  0.000000000  	 -223492.016180224 
    1.538500 	     1.025680 	      74894 	  0.000000000  	 -502845.727585134 
    1.538500 	     1.230818 	     208042 	  0.000000000  	 -1396797.307518152 
    1.538500 	     1.435943 	    1872422 	  0.000000000  	 -12571454.727648474 
    1.538500 	     1.538500 	       8322 	  0.000000000  	 -55874.194443240 
    1.538500 	     1.641052 	    1872482 	  0.000000000  	 -12571728.243236681 
    1.538500 	     1.794869 	     299606 	  0.000000000  	 -2011507.033463336 
    1.538500 	     1.846138 	     208062 	  0.000000000  	 -1396891.008048978 
    1.538500 	     1.923038 	     133162 	  0.000000000  	 -894022.711750016 
    1.538500 	     2.307473 	      33294 	  0.000000000  	 -223526.792644944 

    2.004628 	     0.668179 	      44114 	  0.000000000  	 -296193.048404302 
    2.004628 	     1.002314 	      19606 	  0.000000000  	 -131634.953562894 
    2.004628 	     1.336449 	      44114 	  0.000000000  	 -296174.497099768 
    2.004628 	     1.754083 	     313714 	  0.000000000  	 -2106203.098427352 
    2.004628 	     2.004628 	       4902 	  0.000000000  	 -32911.093865076 
    2.004628 	     2.104836 	    1960842 	  0.000000000  	 -13164586.071120275 
    2.004628 	     2.255134 	     313746 	  0.000000000  	 -2106390.297675582 
    2.004628 	     2.338626 	     176486 	  0.000000000  	 -1184867.424620718 
    2.004628 	     2.505593 	      78442 	  0.000000000  	 -526631.153794746 
    2.004628 	     2.672534 	      44126 	  0.000000000  	 -296245.065109906 
    2.004628 	     3.006329 	      19614 	  0.000000000  	 -131681.368931448 

